City,Country,Year
Chamonix,France,1924
St. Moritz,Switzerland,1928
Lake Placid,United States,1932
Garmisch-Partenkirchen,Germany,1936
St. Moritz,Switzerland,1948
Oslo,Norway,1952
Cortina d'Ampezzo,Italy,1956
Squaw Valley,United States,1960
Innsbruck,Austria,1964
Grenoble,France,1968
Sapporo,Japan,1972
Innsbruck,Austria,1976
Lake Placid,United States,1980
Sarajevo,Yugoslavia,1984
Calgary,Canada,1988
Albertville,France,1992
Lillehammer,Norway,1994
Nagano,Japan,1998
Salt Lake City,United States,2002
Turin,Italy,2006
Vancouver,Canada,2010
Sochi,Russia,2014
PyeongChang,South Korea,2018
Beijing,China,2022
Milan and Cortina d'Ampezzo,Italy,2026