Time,Philadelphia Eagles: (Worldwide),San Francisco 49ers: (Worldwide),Kansas City Chiefs: (Worldwide)
2023-01-23T12,2,3,1
2023-01-23T13,2,3,1
2023-01-23T14,2,3,1
2023-01-23T15,2,3,1
2023-01-23T16,2,3,1
2023-01-23T17,2,3,1
2023-01-23T18,2,3,1
2023-01-23T19,2,3,1
2023-01-23T20,2,3,1
2023-01-23T21,2,3,1
2023-01-23T22,1,2,1
2023-01-23T23,1,2,1
2023-01-24T00,1,1,1
2023-01-24T01,0,1,0
2023-01-24T02,0,1,0
2023-01-24T03,0,0,0
2023-01-24T04,0,0,0
2023-01-24T05,0,0,0
2023-01-24T06,0,0,0
2023-01-24T07,1,0,0
2023-01-24T08,1,1,1
2023-01-24T09,1,1,1
2023-01-24T10,1,1,1
2023-01-24T11,1,1,1
2023-01-24T12,1,1,1
2023-01-24T13,1,1,1
2023-01-24T14,1,1,1
2023-01-24T15,1,1,1
2023-01-24T16,1,1,1
2023-01-24T17,1,2,1
2023-01-24T18,2,2,1
2023-01-24T19,2,2,1
2023-01-24T20,1,2,1
2023-01-24T21,1,2,1
2023-01-24T22,1,2,1
2023-01-24T23,1,1,1
2023-01-25T00,1,1,0
2023-01-25T01,0,1,0
2023-01-25T02,0,0,0
2023-01-25T03,0,0,0
2023-01-25T04,0,0,0
2023-01-25T05,0,0,0
2023-01-25T06,0,0,0
2023-01-25T07,0,0,0
2023-01-25T08,1,0,0
2023-01-25T09,1,1,0
2023-01-25T10,1,1,1
2023-01-25T11,1,1,1
2023-01-25T12,1,1,1
2023-01-25T13,1,1,1
2023-01-25T14,1,1,1
2023-01-25T15,1,1,1
2023-01-25T16,1,1,1
2023-01-25T17,1,1,1
2023-01-25T18,2,2,1
2023-01-25T19,2,2,1
2023-01-25T20,1,2,1
2023-01-25T21,1,2,1
2023-01-25T22,1,1,1
2023-01-25T23,1,1,1
2023-01-26T00,1,1,0
2023-01-26T01,0,1,0
2023-01-26T02,0,0,0
2023-01-26T03,0,0,0
2023-01-26T04,0,0,0
2023-01-26T05,0,0,0
2023-01-26T06,0,0,0
2023-01-26T07,0,0,0
2023-01-26T08,1,0,0
2023-01-26T09,1,1,1
2023-01-26T10,1,1,1
2023-01-26T11,1,1,1
2023-01-26T12,1,1,1
2023-01-26T13,1,1,1
2023-01-26T14,1,1,1
2023-01-26T15,1,1,1
2023-01-26T16,1,1,1
2023-01-26T17,1,1,1
2023-01-26T18,2,2,1
2023-01-26T19,2,2,1
2023-01-26T20,2,2,1
2023-01-26T21,1,2,1
2023-01-26T22,1,1,1
2023-01-26T23,1,1,1
2023-01-27T00,1,1,1
2023-01-27T01,0,1,0
2023-01-27T02,0,0,0
2023-01-27T03,0,0,0
2023-01-27T04,0,0,0
2023-01-27T05,0,0,0
2023-01-27T06,0,0,0
2023-01-27T07,1,0,0
2023-01-27T08,1,1,1
2023-01-27T09,1,1,1
2023-01-27T10,1,1,1
2023-01-27T11,1,1,1
2023-01-27T12,1,1,1
2023-01-27T13,1,1,1
2023-01-27T14,1,1,1
2023-01-27T15,1,1,1
2023-01-27T16,2,2,1
2023-01-27T17,2,2,2
2023-01-27T18,2,2,2
2023-01-27T19,2,2,2
2023-01-27T20,2,2,2
2023-01-27T21,2,2,2
2023-01-27T22,2,2,1
2023-01-27T23,1,2,1
2023-01-28T00,1,1,1
2023-01-28T01,1,1,1
2023-01-28T02,0,1,0
2023-01-28T03,0,0,0
2023-01-28T04,0,0,0
2023-01-28T05,0,0,0
2023-01-28T06,0,0,0
2023-01-28T07,1,0,0
2023-01-28T08,1,1,1
2023-01-28T09,1,1,1
2023-01-28T10,2,1,1
2023-01-28T11,2,2,2
2023-01-28T12,2,2,2
2023-01-28T13,2,2,2
2023-01-28T14,2,2,2
2023-01-28T15,3,3,3
2023-01-28T16,3,3,3
2023-01-28T17,3,3,4
2023-01-28T18,4,4,4
2023-01-28T19,4,4,3
2023-01-28T20,3,4,3
2023-01-28T21,3,4,3
2023-01-28T22,3,4,3
2023-01-28T23,2,3,2
2023-01-29T00,2,3,2
2023-01-29T01,1,2,1
2023-01-29T02,1,1,1
2023-01-29T03,1,1,0
2023-01-29T04,0,1,0
2023-01-29T05,0,0,0
2023-01-29T06,1,1,0
2023-01-29T07,1,1,1
2023-01-29T08,2,1,2
2023-01-29T09,3,2,2
2023-01-29T10,4,3,3
2023-01-29T11,6,5,4
2023-01-29T12,8,8,5
2023-01-29T13,11,11,6
2023-01-29T14,21,20,7
2023-01-29T15,54,54,9
2023-01-29T16,60,68,12
2023-01-29T17,83,86,20
2023-01-29T18,97,76,76
2023-01-29T19,34,31,72
2023-01-29T20,19,15,77
2023-01-29T21,16,12,100
2023-01-29T22,23,10,96
2023-01-29T23,8,5,20
2023-01-30T00,5,4,10
2023-01-30T01,3,2,5
2023-01-30T02,2,1,3
2023-01-30T03,1,1,3
2023-01-30T04,1,1,3
2023-01-30T05,1,1,4
2023-01-30T06,2,1,5
2023-01-30T07,3,1,5
2023-01-30T08,3,2,5
2023-01-30T09,4,1,5
2023-01-30T10,3,2,4
2023-01-30T11,3,2,4